"Enumeration Name","Entity Code","Entity Name","Deleted","Import-only","Comments","ADIF Version","ADIF Status"
"DXCC_Entity_Code","80","HONDURAS","","","","3.1.7","Released"
"DXCC_Entity_Code","81","GERMANY","Deleted","","","3.1.7","Released"
"DXCC_Entity_Code","82","JAMAICA","","","","3.1.7","Released"
"DXCC_Entity_Code","84","MARTINIQUE","","","","3.1.7","Released"
"DXCC_Entity_Code","85","BONAIRE, CURACAO","Deleted","","","3.1.7","Released"
"DXCC_Entity_Code","86","NICARAGUA","","","","3.1.7","Released"
"DXCC_Entity_Code","88","PANAMA","","","","3.1.7","Released"
"DXCC_Entity_Code","89","TURKS & CAICOS IS.","","","","3.1.7","Released"
"DXCC_Entity_Code","90","TRINIDAD & TOBAGO","","","","3.1.7","Released"
"DXCC_Entity_Code","91","ARUBA","","","","3.1.7","Released"
"DXCC_Entity_Code","93","GEYSER REEF","Deleted","","","3.1.7","Released"
"DXCC_Entity_Code","94","ANTIGUA & BARBUDA","","","","3.1.7","Released"
"DXCC_Entity_Code","95","DOMINICA","","","","3.1.7","Released"
"DXCC_Entity_Code","96","MONTSERRAT","","","","3.1.7","Released"
"DXCC_Entity_Code","97","ST. LUCIA","","","","3.1.7","Released"
"DXCC_Entity_Code","98","ST. VINCENT","","","","3.1.7","Released"
"DXCC_Entity_Code","99","GLORIOSO IS.","","","","3.1.7","Released"
"DXCC_Entity_Code","100","ARGENTINA","","","","3.1.7","Released"
"DXCC_Entity_Code","101","GOA","Deleted","","","3.1.7","Released"
"DXCC_Entity_Code","102","GOLD COAST, TOGOLAND","Deleted","","","3.1.7","Released"
"DXCC_Entity_Code","103","GUAM","","","","3.1.7","Released"
"DXCC_Entity_Code","104","BOLIVIA","","","","3.1.7","Released"
"DXCC_Entity_Code","105","GUANTANAMO BAY","","","","3.1.7","Released"
"DXCC_Entity_Code","106","GUERNSEY","","","","3.1.7","Released"
"DXCC_Entity_Code","107","GUINEA","","","","3.1.7","Released"
"DXCC_Entity_Code","108","BRAZIL","","","","3.1.7","Released"
"DXCC_Entity_Code","109","GUINEA-BISSAU","","","","3.1.7","Released"
"DXCC_Entity_Code","110","HAWAII","","","","3.1.7","Released"
"DXCC_Entity_Code","111","HEARD I.","","","","3.1.7","Released"
"DXCC_Entity_Code","112","CHILE","","","","3.1.7","Released"
"DXCC_Entity_Code","113","IFNI","Deleted","","","3.1.7","Released"
"DXCC_Entity_Code","114","ISLE OF MAN","","","","3.1.7","Released"
"DXCC_Entity_Code","115","ITALIAN SOMALILAND","Deleted","","","3.1.7","Released"
"DXCC_Entity_Code","116","COLOMBIA","","","","3.1.7","Released"
"DXCC_Entity_Code","117","ITU HQ","","","","3.1.7","Released"
"DXCC_Entity_Code","118","JAN MAYEN","","","","3.1.7","Released"
"DXCC_Entity_Code","119","JAVA","Deleted","","","3.1.7","Released"
"DXCC_Entity_Code","120","ECUADOR","","","","3.1.7","Released"
"DXCC_Entity_Code","122","JERSEY","","","","3.1.7","Released"
"DXCC_Entity_Code","123","JOHNSTON I.","","","","3.1.7","Released"
"DXCC_Entity_Code","124","JUAN DE NOVA, EUROPA","","","","3.1.7","Released"
"DXCC_Entity_Code","125","JUAN FERNANDEZ IS.","","","","3.1.7","Released"
"DXCC_Entity_Code","126","KALININGRAD","","","","3.1.7","Released"
"DXCC_Entity_Code","127","KAMARAN IS.","Deleted","","","3.1.7","Released"
"DXCC_Entity_Code","128","KARELO-FINNISH REPUBLIC","Deleted","","","3.1.7","Released"
"DXCC_Entity_Code","129","GUYANA","","","","3.1.7","Released"
"DXCC_Entity_Code","130","KAZAKHSTAN","","","","3.1.7","Released"
"DXCC_Entity_Code","131","KERGUELEN IS.","","","","3.1.7","Released"
"DXCC_Entity_Code","132","PARAGUAY","","","","3.1.7","Released"
"DXCC_Entity_Code","133","KERMADEC IS.","","","","3.1.7","Released"
"DXCC_Entity_Code","134","KINGMAN REEF","Deleted","","","3.1.7","Released"
"DXCC_Entity_Code","135","KYRGYZSTAN","","","","3.1.7","Released"
"DXCC_Entity_Code","136","PERU","","","","3.1.7","Released"
"DXCC_Entity_Code","137","REPUBLIC OF KOREA","","","","3.1.7","Released"
"DXCC_Entity_Code","138","KURE I.","","","","3.1.7","Released"
"DXCC_Entity_Code","139","KURIA MURIA I.","Deleted","","","3.1.7","Released"
"DXCC_Entity_Code","140","SURINAME","","","","3.1.7","Released"
"DXCC_Entity_Code","141","FALKLAND IS.","","","","3.1.7","Released"
"DXCC_Entity_Code","142","LAKSHADWEEP IS.","","","","3.1.7","Released"
"DXCC_Entity_Code","143","LAOS","","","","3.1.7","Released"
"DXCC_Entity_Code","144","URUGUAY","","","","3.1.7","Released"
"DXCC_Entity_Code","145","LATVIA","","","","3.1.7","Released"
"DXCC_Entity_Code","146","LITHUANIA","","","","3.1.7","Released"
"DXCC_Entity_Code","147","LORD HOWE I.","","","","3.1.7","Released"
"DXCC_Entity_Code","148","VENEZUELA","","","","3.1.7","Released"
"DXCC_Entity_Code","149","AZORES","","","","3.1.7","Released"
"DXCC_Entity_Code","150","AUSTRALIA","","","","3.1.7","Released"
"DXCC_Entity_Code","151","MALYJ VYSOTSKIJ I.","Deleted","","","3.1.7","Released"
"DXCC_Entity_Code","152","MACAO","","","","3.1.7","Released"
"DXCC_Entity_Code","153","MACQUARIE I.","","","","3.1.7","Released"
